Date,Price_Close,Price_Open,Price_High,Price_Low,Var
"18/12/2020","1880,66","1885,80","1889,88","1876,97","-0,28%"
"17/12/2020","1885,87","1864,26","1896,26","1861,83","1,17%"
"16/12/2020","1864,15","1853,94","1866,20","1844,75","0,58%"
"15/12/2020","1853,46","1827,80","1855,76","1825,29","1,44%"
"14/12/2020","1827,17","1839,30","1839,86","1819,92","-0,64%"
"11/12/2020","1839,03","1835,55","1847,89","1824,23","0,20%"
"10/12/2020","1835,31","1839,59","1850,40","1828,48","-0,21%"
"09/12/2020","1839,11","1871,19","1871,37","1825,71","-1,72%"
"08/12/2020","1871,36","1863,55","1875,79","1859,83","0,41%"
"07/12/2020","1863,69","1837,99","1868,76","1822,99","1,42%"
"04/12/2020","1837,61","1841,05","1848,26","1829,30","-0,15%"
"03/12/2020","1840,36","1831,34","1844,45","1823,60","0,51%"
"02/12/2020","1831,01","1815,19","1832,65","1806,99","0,89%"
"01/12/2020","1814,87","1777,40","1817,55","1775,52","2,13%"
"30/11/2020","1777,02","1789,05","1789,99","1764,69","-0,62%"
"27/11/2020","1788,13","1811,09","1813,81","1773,93","-1,24%"
"26/11/2020","1810,57","1805,74","1818,78","1805,31","0,29%"
"25/11/2020","1805,30","1807,69","1817,98","1801,33","-0,12%"
"24/11/2020","1807,51","1836,65","1839,26","1800,69","-1,54%"
"23/11/2020","1835,85","1869,84","1876,72","1830,85","-1,85%"
"20/11/2020","1870,49","1867,59","1879,98","1860,66","0,17%"
"19/11/2020","1867,37","1871,44","1874,34","1852,48","-0,22%"
"18/11/2020","1871,41","1878,60","1884,92","1863,94","-0,38%"
"17/11/2020","1878,60","1889,15","1893,90","1877,69","-0,52%"
"16/11/2020","1888,52","1888,74","1899,35","1864,74","0,03%"
"13/11/2020","1888,04","1876,44","1897,16","1873,76","0,65%"
"12/11/2020","1875,76","1865,30","1883,88","1862,46","0,59%"
"11/11/2020","1864,71","1877,34","1884,93","1856,05","-0,63%"
"10/11/2020","1876,50","1862,15","1890,60","1860,30","0,79%"
"09/11/2020","1861,86","1954,65","1965,92","1850,36","-4,59%"
"06/11/2020","1951,51","1949,24","1960,77","1935,40","0,15%"
"05/11/2020","1948,56","1903,65","1952,95","1902,43","2,38%"
"04/11/2020","1903,21","1908,59","1916,68","1883,15","-0,27%"
"03/11/2020","1908,36","1895,80","1910,71","1886,81","0,70%"
"02/11/2020","1895,10","1878,59","1896,12","1873,21","0,91%"
"30/10/2020","1877,95","1868,24","1889,85","1864,64","0,58%"
"29/10/2020","1867,13","1876,94","1885,42","1859,67","-0,53%"
"28/10/2020","1877,06","1908,05","1911,03","1869,59","-1,56%"
"27/10/2020","1906,83","1902,19","1911,34","1897,47","0,27%"
"26/10/2020","1901,69","1902,34","1908,55","1890,90","0,05%"
"23/10/2020","1900,79","1904,24","1914,30","1894,54","-0,17%"
"22/10/2020","1904,04","1924,34","1926,00","1894,80","-1,06%"
"21/10/2020","1924,49","1908,65","1931,41","1907,94","0,95%"
"20/10/2020","1906,39","1904,24","1914,20","1894,74","0,11%"
"19/10/2020","1904,27","1899,94","1918,59","1897,09","0,28%"
"16/10/2020","1898,97","1907,95","1914,06","1897,59","-0,46%"
"15/10/2020","1907,82","1900,31","1909,22","1889,46","0,36%"
"14/10/2020","1900,89","1891,90","1913,03","1882,44","0,53%"
"13/10/2020","1890,82","1922,42","1925,73","1886,59","-1,62%"
"12/10/2020","1921,95","1930,50","1933,45","1918,19","-0,39%"
"09/10/2020","1929,43","1894,19","1930,83","1893,32","1,92%"
"08/10/2020","1893,09","1887,40","1900,73","1881,86","0,31%"
"07/10/2020","1887,22","1878,84","1898,31","1873,05","0,54%"
"06/10/2020","1877,13","1913,28","1921,10","1874,57","-1,87%"
"05/10/2020","1912,90","1902,24","1918,74","1886,81","0,75%"
"02/10/2020","1898,70","1905,65","1917,28","1889,57","-0,33%"
"01/10/2020","1905,05","1885,80","1912,09","1884,48","1,04%"
