Date,Date,Price_Close,Price_Open,Price_High,Price_Low,Var
2021-10-13,2021-10-13,1792.65,1760.05,1796.31,1757.89,0.018600000000000002
2021-10-14,2021-10-14,1795.56,1792.75,1800.91,1786.22,0.0016
2021-10-15,2021-10-15,1767.26,1795.81,1796.89,1764.48,-0.0158
2021-10-18,2021-10-18,1764.58,1767.74,1772.3,1759.68,-0.0015
2021-10-19,2021-10-19,1768.88,1764.99,1785.53,1762.48,0.0024
2021-10-20,2021-10-20,1781.83,1769.28,1788.68,1766.5,0.0073
2021-10-21,2021-10-21,1782.76,1782.1,1789.61,1776.07,0.0005
2021-10-22,2021-10-22,1792.48,1782.89,1814.22,1782.46,0.0055000000000000005
2021-10-25,2021-10-25,1807.71,1794.0,1810.18,1791.95,0.0085
2021-10-26,2021-10-26,1792.63,1807.9,1808.5,1781.98,-0.0083
2021-10-27,2021-10-27,1796.69,1793.04,1799.38,1782.83,0.0023
2021-10-28,2021-10-28,1798.62,1796.78,1810.49,1792.34,0.0011
2021-10-29,2021-10-29,1782.81,1799.03,1801.49,1771.7,-0.0088
2021-11-01,2021-11-01,1793.05,1783.24,1796.2,1778.89,0.005699999999999999
2021-11-02,2021-11-02,1787.28,1793.61,1796.91,1785.78,-0.0032
2021-11-03,2021-11-03,1769.54,1787.71,1788.42,1758.45,-0.009899999999999999
2021-11-04,2021-11-04,1791.7,1769.98,1799.26,1769.13,0.0125
2021-11-05,2021-11-05,1816.73,1792.14,1818.61,1785.17,0.013999999999999999
2021-11-08,2021-11-08,1824.26,1818.44,1826.93,1812.08,0.0040999999999999995
2021-11-09,2021-11-09,1831.48,1824.74,1833.08,1817.7,0.004
2021-11-10,2021-11-10,1849.57,1831.9,1868.7,1821.6,0.009899999999999999
2021-11-11,2021-11-11,1861.52,1849.69,1866.35,1842.66,0.006500000000000001
2021-11-12,2021-11-12,1864.04,1861.99,1868.69,1844.78,0.0014000000000000002
2021-11-15,2021-11-15,1862.46,1868.15,1870.57,1855.73,-0.0009
2021-11-16,2021-11-16,1849.91,1862.94,1877.4,1849.16,-0.0067
2021-11-17,2021-11-17,1866.96,1850.34,1868.32,1849.38,0.0092
2021-11-18,2021-11-18,1858.46,1866.97,1871.29,1854.94,-0.0046
2021-11-19,2021-11-19,1844.6,1858.9,1865.76,1842.98,-0.0075
2021-11-22,2021-11-22,1805.04,1846.74,1849.49,1801.95,-0.021400000000000002
2021-11-23,2021-11-23,1789.73,1805.65,1812.5,1781.63,-0.0085
2021-11-24,2021-11-24,1788.5,1790.34,1797.01,1778.44,-0.0007000000000000001
2021-11-25,2021-11-25,1788.45,1789.49,1795.65,1785.85,-0.0
2021-11-26,2021-11-26,1791.81,1788.7,1815.78,1780.79,0.0019
2021-11-29,2021-11-29,1785.01,1790.05,1799.8,1781.23,-0.0038
2021-11-30,2021-11-30,1773.78,1785.34,1809.38,1769.43,-0.0063
2021-12-01,2021-12-01,1782.66,1774.15,1794.8,1771.96,0.005
2021-12-02,2021-12-02,1768.64,1783.05,1783.58,1761.68,-0.0079
2021-12-03,2021-12-03,1783.74,1768.84,1786.44,1765.63,0.0085
2021-12-06,2021-12-06,1778.11,1784.79,1787.87,1775.91,-0.0032
2021-12-07,2021-12-07,1784.04,1778.08,1788.02,1771.93,0.0033
2021-12-08,2021-12-08,1782.06,1784.4,1793.6,1779.45,-0.0011
2021-12-09,2021-12-09,1774.46,1782.49,1788.05,1772.8,-0.0043
2021-12-10,2021-12-10,1782.51,1774.94,1789.47,1769.43,0.0045000000000000005
2021-12-13,2021-12-13,1786.94,1782.94,1791.78,1781.51,0.0025
2021-12-14,2021-12-14,1770.18,1787.19,1789.74,1766.31,-0.009399999999999999
2021-12-15,2021-12-15,1777.06,1770.49,1781.04,1753.84,0.0039000000000000003
2021-12-16,2021-12-16,1799.03,1777.4,1799.53,1775.43,0.0124
2021-12-17,2021-12-17,1797.68,1799.55,1814.63,1795.67,-0.0007000000000000001
2021-12-20,2021-12-20,1789.32,1799.4,1804.32,1787.98,-0.004699999999999999
2021-12-21,2021-12-21,1786.55,1791.54,1800.42,1785.04,-0.0015
