Date,Price_Close,Price_High,Price_Low,Price_Open,Circulating_Marketcap,Marketcap_Dominance,Volatility,Circulating_Supply
2021-07-10,33522.06356837286,34259.76829317986,33020.78076154147,33794.917724723506,633934945991.1401,44.787124365829946,0.8523785247356533,18759624.22783148
2021-07-09,33810.42781975512,34095.26614090427,32260.155951010456,32877.28756280011,616571694506.2479,44.72162724411898,0.8499764648780467,18758617.92642102
2021-07-08,32884.7762251915,34065.39230422948,32087.00245257771,34049.45342560156,635511032048.2476,43.790114689916756,0.9440184921589303,18757799.05030855
2021-07-07,33869.70692034103,35074.37075612506,33786.43940463474,34227.294387719514,642105926160.6051,44.2056365045204,0.9376804898397106,18756930.22096374
2021-07-06,34222.14298956328,35134.61228189785,33528.83887110753,33685.2126100696,631954037093.7885,44.718425489211526,0.9627860944027741,18756161.38224719
2021-07-05,33694.22371492725,35291.32298353512,33133.39200139235,35282.94933624328,661700731705.0841,44.95844782852714,0.9624179475715955,18755273.68944298
2021-07-04,35285.49582543825,35960.33133147276,34368.14276053887,34667.73381514874,650477712452.0396,45.19232131125428,0.9593235575690761,18754448.48387814
2021-07-03,34674.99184429142,34958.1597603086,33323.28351630516,33806.74007304999,634003124385.0635,45.16229968581618,0.9788488294987286,18753729.61111911
2021-07-02,33698.749115710125,33973.19885606499,33418.744905336745,33557.67256842808,628509187499.8739,45.28649546412028,0.9856915366284605,18752935.63213483
2021-07-01,33516.54526347933,35063.91302210495,32711.214850154633,35026.7219656388,657464524941.3081,45.07575514422954,0.988340463910338,18752372.99755413
2021-06-30,35047.23922681836,36101.09208053286,34032.969790523646,35865.49752358096,673237510957.6335,46.13219723253847,0.9825423342478645,18751772.82071923
2021-06-29,35909.54506540364,36650.31817970215,34236.001902199365,34468.11705059078,646743166415.4061,46.13448744070326,0.9946527871929389,18751222.6291202
2021-06-28,34495.23534548134,35307.18305009769,33870.57075167832,34716.047616820884,649729616549.1019,46.92898031462769,0.9835846522840627,18750660.01500227
2021-06-27,34709.64461020715,34774.05053681759,32004.908688908316,32177.703945537385,604239708682.6132,46.43826609423209,0.9559579049742117,18750109.81153235
2021-06-26,32291.059871232792,32720.13926673997,30159.35515734733,31627.640411140823,592309222579.1776,46.17115036395574,0.9772406149131908,18749747.2377544
2021-06-25,31587.362684572647,35496.81636941242,31279.13605910922,34672.038125496445,649820096971.7588,46.33620254935012,0.9743086681178315,18749190.87016267
2021-06-24,34660.06634955702,35297.27565188699,32305.99344880372,33653.45917505667,631077838890.648,46.47455367991915,0.9397344507232565,18748503.21261887
